2023:02:24 00:01:02.157 INFO  --- [http-nio-30403-exec-5] c.s.b.s.f.JwtAuthenticationFilter : jwt start 
2023:02:24 00:01:02.200 INFO  --- [http-nio-30403-exec-5] c.s.b.s.f.JwtAuthenticationFilter : 1 
2023:02:24 00:01:02.213 INFO  --- [http-nio-30403-exec-5] c.s.b.s.f.JwtAuthenticationFilter : 2 
2023:02:24 00:01:02.226 INFO  --- [http-nio-30403-exec-5] c.s.b.s.f.JwtAuthenticationFilter : 3 
2023:02:24 00:01:02.231 INFO  --- [http-nio-30403-exec-5] c.s.b.s.f.JwtAuthenticationFilter : principal : org.springframework.security.core.userdetails.User [Username=jeterunfeu, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[]] 
2023:02:24 00:01:02.257 INFO  --- [http-nio-30403-exec-5] c.s.b.s.f.JwtAuthenticationFilter : DEVELOPER! freepass 
2023:02:24 00:01:02.257 INFO  --- [http-nio-30403-exec-5] c.s.b.s.f.JwtAuthenticationFilter : 4 
2023:02:24 00:01:06.730 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : jwt start 
2023:02:24 00:01:06.731 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 1 
2023:02:24 00:01:06.734 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 2 
2023:02:24 00:01:06.738 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 3 
2023:02:24 00:01:06.742 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : principal : org.springframework.security.core.userdetails.User [Username=jeterunfeu, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[]] 
2023:02:24 00:01:06.747 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : DEVELOPER! freepass 
2023:02:24 00:01:06.747 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 4 
2023:02:24 00:01:06.750 WARN  --- [http-nio-30403-exec-8] o.s.w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'text/plain;charset=UTF-8' not supported] 
2023:02:24 00:01:06.755 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : jwt start 
2023:02:24 00:01:06.756 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 1 
2023:02:24 00:01:06.761 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 2 
2023:02:24 00:01:06.764 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 3 
2023:02:24 00:01:06.767 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : principal : org.springframework.security.core.userdetails.User [Username=jeterunfeu, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[]] 
2023:02:24 00:01:06.772 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : DEVELOPER! freepass 
2023:02:24 00:01:06.772 INFO  --- [http-nio-30403-exec-8] c.s.b.s.f.JwtAuthenticationFilter : 4 
2023:02:24 00:01:48.405 INFO  --- [http-nio-30403-exec-1] c.s.b.s.f.JwtAuthenticationFilter : jwt start 
2023:02:24 00:01:48.406 INFO  --- [http-nio-30403-exec-1] c.s.b.s.f.JwtAuthenticationFilter : 1 
2023:02:24 00:01:48.415 INFO  --- [http-nio-30403-exec-1] c.s.b.s.f.JwtAuthenticationFilter : 2 
2023:02:24 00:01:48.420 INFO  --- [http-nio-30403-exec-1] c.s.b.s.f.JwtAuthenticationFilter : 3 
2023:02:24 00:01:48.427 INFO  --- [http-nio-30403-exec-1] c.s.b.s.f.JwtAuthenticationFilter : principal : org.springframework.security.core.userdetails.User [Username=jeterunfeu, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[]] 
2023:02:24 00:01:48.439 INFO  --- [http-nio-30403-exec-1] c.s.b.s.f.JwtAuthenticationFilter : DEVELOPER! freepass 
2023:02:24 00:01:48.440 INFO  --- [http-nio-30403-exec-1] c.s.b.s.f.JwtAuthenticationFilter : 4 
2023:02:24 00:01:52.725 INFO  --- [http-nio-30403-exec-3] c.s.b.s.f.JwtAuthenticationFilter : jwt start 
